outcome_key,outcome,direction,model,sample_mode,lag,term,coefficient,std_error,p_value,ci_low,ci_high,standardized_coefficient,standardized_ci_low,standardized_ci_high,n_obs,n_countries
composite,Composite,populism_to_corruption,lead_lag,common,1,populism_governing_lag1,-0.04835410987793801,0.023237207320903865,0.037517854224879965,-0.09391427632091698,-0.002793943434959041,-0.07591107119865627,-0.14743593325083906,-0.004386209146473453,3576,95
composite,Composite,populism_to_corruption,lead_lag,common,2,populism_governing_lag2,-0.002315731681998071,0.019251772591970154,0.9042631056058748,-0.04006183221377331,0.03543036884977717,-0.0036354649694284864,-0.06289303236488512,0.05562210242602815,3576,95
composite,Composite,populism_to_corruption,granger,common,1,populism_governing_lag1,-0.0016904790614617861,0.006621876353384626,0.798517084346078,-0.014673804911453953,0.011292846788530382,-0.0026963121137487988,-0.023404701566269177,0.01801207733877158,3501,95
composite,Composite,populism_to_corruption,granger,common,2,populism_governing_lag2,0.005772373691870444,0.006436803052125503,0.3699025725457692,-0.0068480841660075575,0.018392831549748447,0.009206929245853299,-0.010922686186252367,0.029336544677958966,3501,95
composite,Composite,corruption_to_populism,lead_lag,common,1,corruption_composite_lag1,-0.1381422453931395,0.14704893434810648,0.347576897034785,-0.4264560735604781,0.15017158277419915,-0.08659272072753241,-0.26731860029702714,0.09413315884196237,3527,95
composite,Composite,corruption_to_populism,lead_lag,common,2,corruption_composite_lag2,-0.05493791819611855,0.1306328475565314,0.6741089058075749,-0.3110652851191888,0.20118944872695171,-0.034437139733539984,-0.19498734283418467,0.1261130633671047,3527,95
composite,Composite,corruption_to_populism,granger,common,1,corruption_composite_lag1,-0.048396511147001706,0.03353563532473783,0.14907461871302496,-0.1141487010068072,0.017355678712803788,-0.030336741392994276,-0.0715526706516379,0.010879187865649348,3527,95
composite,Composite,corruption_to_populism,granger,common,2,corruption_composite_lag2,0.014649911514505485,0.03270812140358063,0.6542553193942728,-0.049479799691513365,0.07877962272052433,0.009183111892009507,-0.031015787126870063,0.04938201091088907,3527,95
executive,Executive,populism_to_corruption,lead_lag,common,1,populism_governing_lag1,0.014162514202474845,0.030667766588472836,0.6442507731713962,-0.04596642172814899,0.07429145013309868,0.01826966275322326,-0.059296747098687166,0.09583607260513369,3576,95
executive,Executive,populism_to_corruption,lead_lag,common,2,populism_governing_lag2,0.012433583896969308,0.02703482994819047,0.6456100980865012,-0.04057241356164785,0.06543958135558646,0.016039340286899188,-0.052338469162917296,0.08441714973671567,3576,95
executive,Executive,populism_to_corruption,granger,common,1,populism_governing_lag1,0.013201910264921637,0.014744846889694201,0.37066024504830897,-0.015707894382713385,0.042111714912556664,0.017297912545441246,-0.020581399043982727,0.05517722413486523,3501,95
executive,Executive,populism_to_corruption,granger,common,2,populism_governing_lag2,-0.005453895209820425,0.01339526233146699,0.683923035882589,-0.03171760754970259,0.02080981713006174,-0.007146011484576216,-0.04155825865618691,0.027266235687034478,3501,95
executive,Executive,corruption_to_populism,lead_lag,common,1,corruption_executive_lag1,0.10612756261400494,0.11164330719227292,0.34187798514451484,-0.11276766045281125,0.3250227856808211,0.0808312706759901,-0.08588865193024289,0.24755119328222305,3527,95
executive,Executive,corruption_to_populism,lead_lag,common,2,corruption_executive_lag2,-0.08898783757078715,0.08362347126819909,0.2873371765429744,-0.25294552439700513,0.07496984925543085,-0.06777692626105902,-0.19265408198601622,0.05710022946389819,3527,95
executive,Executive,corruption_to_populism,granger,common,1,corruption_executive_lag1,0.0050260783352762016,0.023382889428089658,0.8298217319688783,-0.04081996484412522,0.05087212151467762,0.003828075274234446,-0.03109022336921614,0.038746373917685026,3527,95
executive,Executive,corruption_to_populism,granger,common,2,corruption_executive_lag2,-0.014981269114527311,0.02372398695613386,0.5277681749008791,-0.06149609072044413,0.03153355249138951,-0.011410372471009768,-0.04683804124116856,0.024017296299149025,3527,95
public_sector,Public sector,populism_to_corruption,lead_lag,common,1,populism_governing_lag1,-0.058510338094967015,0.02974266306441742,0.04923842012264279,-0.11682546439042718,-0.0001952117995068503,-0.07880565930540448,-0.15734839422743996,-0.0002629243833690147,3576,95
